Date,Open,High,Low,Close,Adj Close,Volume
2022-08-08,49.389999,49.810001,48.939999,49.570000,47.649426,16071800
2022-08-09,49.750000,50.110001,49.520000,49.779999,47.851295,12095600
2022-08-10,49.930000,50.049999,49.380001,49.950001,48.014702,17355100
2022-08-11,48.220001,49.130001,47.810001,48.290001,46.419022,44048800
2022-08-12,48.549999,50.389999,48.549999,50.110001,48.168507,25835500
2022-08-15,49.970001,50.070000,49.389999,49.750000,47.822449,15797800
2022-08-16,49.380001,50.180000,49.360001,49.860001,47.928196,12874800
2022-08-17,49.650002,49.860001,49.250000,49.270000,47.361050,13607200
2022-08-18,49.389999,49.520000,48.380001,48.580002,46.697784,18916300
2022-08-19,48.840000,49.450001,48.730000,49.150002,47.245701,15350200
2022-08-22,49.209999,49.400002,48.740002,48.900002,47.005386,13601200
2022-08-23,48.419998,48.520000,47.759998,48.009998,46.149868,16248900
2022-08-24,47.900002,48.009998,47.380001,47.430000,45.592342,15551500
2022-08-25,47.520000,47.950001,47.270000,47.900002,46.044132,14460000
2022-08-26,47.619999,47.959999,46.700001,46.820000,45.005974,16546700
2022-08-29,46.380001,46.689999,46.119999,46.230000,44.438831,13400500
2022-08-30,46.340000,46.349998,45.799999,45.849998,44.073555,16303000
2022-08-31,46.009998,46.290001,45.130001,45.230000,43.477573,26416800
2022-09-01,45.139999,46.650002,45.139999,46.630001,44.823338,19947600
2022-09-02,46.740002,46.799999,45.529999,45.700001,43.929367,14667700
2022-09-06,45.959999,46.439999,45.529999,45.759998,43.987045,17153500
2022-09-07,45.700001,46.209999,45.380001,46.130001,44.342709,15378900
2022-09-08,46.020000,47.119999,45.869999,47.080002,45.255901,18271000
2022-09-09,47.200001,47.990002,47.099998,47.840000,45.986458,17501700
2022-09-12,48.080002,48.349998,47.689999,47.759998,45.909554,13744800
2022-09-13,47.130001,47.320000,46.020000,46.189999,44.400383,16603200
2022-09-14,46.200001,46.410000,45.779999,46.150002,44.361931,17162500
2022-09-15,46.110001,46.290001,45.700001,45.939999,44.160069,15802000
2022-09-16,46.090000,46.619999,45.639999,46.029999,44.246582,30629500
2022-09-19,45.680000,45.880001,44.779999,45.439999,43.679440,16256200
2022-09-20,45.000000,45.270000,44.439999,44.770000,43.035404,15369000
2022-09-21,44.810001,44.980000,43.900002,43.919998,42.218334,17505200
2022-09-22,43.669998,45.000000,43.520000,44.570000,42.843151,18508100
2022-09-23,44.439999,44.560001,43.580002,44.080002,42.372139,18871700
2022-09-26,43.810001,44.330002,43.669998,43.830002,42.131824,18680200
2022-09-27,44.220001,44.580002,43.740002,44.090000,42.381752,21562700
2022-09-28,44.669998,44.810001,44.220001,44.430000,42.708576,16532600
2022-09-29,44.410000,44.619999,43.950001,44.160000,42.449036,13559900
2022-09-30,44.169998,44.610001,43.730000,43.759998,42.064533,22962300
2022-10-03,44.070000,44.279999,43.490002,44.139999,42.429813,22834300
2022-10-04,44.250000,44.840000,44.090000,44.459999,42.737408,28198800
2022-10-05,44.119999,44.369999,43.680000,44.119999,42.410583,15673400
2022-10-06,43.759998,43.779999,43.040001,43.090000,41.420490,22068200
2022-10-07,43.049999,43.049999,41.919998,42.320000,40.680325,20095000
2022-10-10,42.349998,42.619999,41.750000,41.750000,40.132412,17888000
2022-10-11,41.660000,42.570000,41.450001,41.919998,40.295822,20981200
2022-10-12,42.090000,43.139999,41.919998,42.029999,40.401562,18803600
2022-10-13,41.759998,43.160000,41.700001,42.980000,41.314754,23135200
2022-10-14,42.889999,43.380001,42.360001,42.860001,41.199406,16980500
2022-10-17,43.189999,43.810001,43.189999,43.650002,41.958801,16678400
2022-10-18,44.049999,44.360001,43.619999,44.090000,42.381752,18442800
2022-10-19,43.910000,44.070000,42.740002,43.110001,41.439720,23054700
2022-10-20,43.270000,43.410000,42.820000,42.910000,41.247471,17715000
2022-10-21,43.310001,45.160000,42.990002,44.950001,43.208427,36575700
2022-10-24,45.080002,45.869999,44.990002,45.540001,43.775570,24972000
2022-10-25,45.270000,45.820000,44.889999,45.590000,43.823631,23127000
2022-10-26,45.919998,46.650002,45.619999,46.060001,44.275425,21407900
2022-10-27,45.810001,46.110001,45.680000,45.740002,43.967823,20377700
2022-10-28,45.980000,47.520000,45.930000,47.430000,45.592342,27854000
2022-10-31,47.080002,47.389999,46.540001,46.549999,44.746433,29961700
2022-11-01,48.000000,48.419998,47.400002,48.009998,46.149868,30614500
2022-11-02,47.770000,48.169998,46.950001,47.070000,45.246288,25813100
2022-11-03,46.360001,46.799999,46.160000,46.570000,45.149338,20124600
2022-11-04,47.470001,47.540001,46.610001,47.220001,45.779514,24528500
2022-11-07,47.160000,47.650002,46.750000,47.090000,45.653477,20304400
2022-11-08,47.040001,47.750000,46.750000,47.349998,45.905544,18054500
2022-11-09,47.160000,47.500000,46.700001,46.720001,45.294765,15348100
2022-11-10,47.529999,47.750000,46.849998,47.380001,45.934631,20480600
2022-11-11,47.070000,47.700001,46.310001,47.599998,46.147915,20909800
2022-11-14,47.990002,49.820000,47.930000,49.240002,47.737888,26143000
2022-11-15,49.340000,49.529999,48.180000,48.570000,47.088326,25440500
2022-11-16,48.799999,49.060001,48.049999,48.049999,46.584187,15822200
2022-11-17,47.799999,48.500000,47.529999,48.330002,46.855652,13231100
2022-11-18,48.639999,48.830002,47.869999,48.230000,46.758698,20666500
2022-11-21,48.099998,48.279999,47.720001,48.180000,46.710224,14736000
2022-11-22,48.340000,49.250000,48.240002,49.080002,47.582771,16358600
2022-11-23,48.959999,49.220001,48.520000,48.849998,47.359779,10710800
2022-11-25,48.930000,49.220001,48.840000,49.209999,47.708801,6760200
2022-11-28,49.180000,49.740002,49.060001,49.570000,48.057819,20704000
2022-11-29,49.500000,49.669998,49.099998,49.490002,47.980263,17160900
2022-11-30,49.639999,50.130001,49.040001,50.130001,48.600739,35572700
2022-12-01,50.310001,51.160000,50.279999,51.080002,49.521763,23592600
2022-12-02,50.560001,51.330002,50.480000,50.910000,49.356941,16881600
2022-12-05,50.910000,51.029999,50.349998,50.730000,49.182434,17959800
2022-12-06,50.669998,50.849998,49.180000,49.709999,48.193550,21787100
2022-12-07,49.750000,51.150002,49.750000,50.240002,48.707386,15929900
2022-12-08,50.180000,51.869999,50.020000,51.779999,50.200401,26116800
2022-12-09,51.750000,52.840000,51.630001,51.720001,50.142235,19933500
2022-12-12,52.119999,52.590000,51.750000,52.160000,50.568813,18532200
2022-12-13,53.099998,54.040001,52.880001,53.070000,51.451050,29461800
2022-12-14,53.139999,54.930000,52.900002,54.480000,52.818035,36260300
2022-12-15,54.070000,54.430000,53.400002,53.610001,51.974579,21627100
2022-12-16,53.009998,53.139999,51.400002,51.400002,49.831997,65689500
2022-12-19,51.520000,51.810001,50.700001,51.360001,49.793217,16081900
2022-12-20,51.209999,51.509998,50.840000,51.320000,49.754436,12433800
2022-12-21,51.610001,52.160000,51.200001,51.660000,50.084064,12925000
2022-12-22,51.410000,51.700001,50.950001,51.639999,50.064674,14822300
2022-12-23,51.560001,51.950001,51.240002,51.830002,50.248878,10666500
2022-12-27,51.860001,51.930000,51.049999,51.130001,49.570232,12033800
2022-12-28,51.049999,51.389999,50.750000,50.799999,49.250298,10053900
2022-12-29,51.020000,51.669998,50.990002,51.330002,49.764130,8971300
2022-12-30,51.290001,51.400002,50.750000,51.240002,49.676880,11396200
2023-01-03,51.009998,51.330002,50.820000,51.259998,49.696266,15603800
2023-01-04,50.290001,50.630001,49.520000,50.130001,48.600739,21808400
2023-01-05,49.730000,49.990002,48.919998,49.660000,48.145077,20057400
2023-01-06,49.980000,51.599998,49.560001,50.919998,49.366638,29635900
2023-01-09,50.049999,50.259998,48.310001,48.389999,46.913815,30839100
2023-01-10,48.349998,48.470001,47.380001,47.619999,46.167309,29212000
2023-01-11,47.700001,47.740002,46.860001,47.450001,46.002491,23022200
2023-01-12,47.270000,47.720001,46.580002,47.709999,46.254559,23345300
2023-01-13,47.500000,48.160000,47.490002,47.849998,46.390289,18737500
